instrument	inst	link	hex
Start-up Core Coaching	Begleitung von Start-ups	/support-for-start-ups	#FF8674
Innovation Booster	Starthilfe für Projekte und Vernetzung	/project-set-up-assistance-and-networking	#FCE300
BRIDGE: Proof of Concept	Förderung für Schweizer Innovationsprojekte	/projects-researchers#bridge-proof-of-concept	#06F7DA
Innovationsprojekte ohne Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	/projects-researchers	#06F7DA
Innovationsscheck	Förderung für Schweizer Innovationsprojekte	/projects-companies-researchers#innovation-cheques	#06F7DA
Innovationsprojekte mit Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	/projects-companies-researchers	#06F7DA
Begleitung von Start-ups	Begleitung von Start-ups	/support-for-start-ups	#FF8674
Starthilfe für Projekte und Vernetzung	Starthilfe für Projekte und Vernetzung	/project-set-up-assistance-and-networking	#FCE300
Förderung für Schweizer Innovationsprojekte	Förderung für Schweizer Innovationsprojekte	/projects-companies-researchers	#06F7DA
Förderung für internationale Innovationsprojekte	Förderung für internationale Innovationsprojekte	/support-offers-and-content	#A2AFE9
